wb,cement_consumption,water_consumption,dry_d1,fibra_metalica,macrofibra_pp,microfibra_pp,idade_dias,idade_horas,cement,curing,local_ensaio,estado,regiao,idade_label,epsilon_t,amostra_id,epsilon_previsto,residuo,erro_absoluto,sinal_previsto
0.54,335,180.9,10.0,0.0,0.0,0.0,0.5,12,CP II,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,12 h,10.0,13,-1.5983333333333332,11.598333333333333,11.598333333333333,retracao
0.54,335,180.9,10.0,0.0,0.0,0.0,1.0,24,CP II,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,1 dia,0.0,13,11.269047619047617,-11.269047619047617,11.269047619047617,expansao
0.54,335,180.9,10.0,0.0,0.0,0.0,3.0,72,CP II,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,3 dias,20.0,13,59.94166666666666,-39.94166666666666,39.94166666666666,expansao
0.54,335,180.9,10.0,0.0,0.0,0.0,7.0,168,CP II,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,7 dias,20.0,13,54.99666666666666,-34.99666666666666,34.99666666666666,expansao
0.54,335,180.9,10.0,0.0,0.0,0.0,14.0,336,CP II,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,14 dias,-180.0,13,-112.96714285714287,-67.03285714285713,67.03285714285713,retracao
0.54,335,180.9,10.0,0.0,0.0,0.0,28.0,672,CP II,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,28 dias,-250.0,13,-216.14738095238098,-33.852619047619015,33.852619047619015,retracao
0.54,335,180.9,10.0,0.0,0.0,0.0,56.0,1344,CP II,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,56 dias,-370.0,13,-346.76,-23.24000000000001,23.24000000000001,retracao
0.5,400,200.0,0.0,0.0,0.0,0.3,0.5,12,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,12 h,0.0,14,0.0,0.0,0.0,estabilidade
0.5,400,200.0,0.0,0.0,0.0,0.3,1.0,24,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,1 dia,-60.0,14,-48.02999999999998,-11.97000000000002,11.97000000000002,retracao
0.5,400,200.0,0.0,0.0,0.0,0.3,3.0,72,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,3 dias,-180.0,14,-93.86,-86.14,86.14,retracao
