amostra_id,idade_label,real,previsto
65,1 dia,30.0,61.702564563944335
65,3 dias,60.0,66.13959540824457
65,7 dias,110.0,63.21509594576581
65,14 dias,-10.0,-57.69414502004608
65,28 dias,-100.0,-174.9083104049078
65,56 dias,-320.0,-307.5380800235526
66,12 h,0.0,49.91708769932043
66,1 dia,40.0,55.288728962203805
66,3 dias,80.0,59.29327962524826
66,7 dias,120.0,51.834755052056664
66,14 dias,-40.0,-66.27161978556079
66,28 dias,-160.0,-181.6340724749718
66,56 dias,-320.0,-315.45395950189476
67,12 h,0.0,-137.31443234999756
67,1 dia,-50.0,-122.80623725448878
67,3 dias,-100.0,-106.9317302537483
67,7 dias,-170.0,-109.35537812277094
67,14 dias,-260.0,-233.2190640518338
67,28 dias,-370.0,-355.2336972569399
67,56 dias,-450.0,-493.04680868128077
68,12 h,0.0,44.41603586086079
68,1 dia,20.0,58.70874680934598
68,3 dias,60.0,63.14577765364622
68,7 dias,100.0,60.22127819116746
68,14 dias,-30.0,-60.68796277464444
68,28 dias,-160.0,-177.90212815950622
68,56 dias,-320.0,-310.53189777815095
69,12 h,0.0,-77.76320085883818
69,1 dia,-50.0,-72.39155959595485
69,3 dias,-110.0,-68.38700893291036
69,7 dias,-160.0,-75.84553350610199
69,14 dias,-260.0,-193.9519083437194
69,28 dias,-350.0,-309.31436103313035
69,56 dias,-450.0,-443.1342480600534
70,12 h,0.0,12.661289565801695
70,1 dia,20.0,27.16948466131049
70,3 dias,40.0,43.043991662050985
70,7 dias,90.0,40.620343793028326
70,14 dias,-40.0,-83.24334213603454
70,28 dias,-180.0,-205.25797534114065
70,56 dias,-320.0,-343.0710867654815
71,12 h,0.0,-148.5268859702092
71,1 dia,-50.0,-134.234175021724
71,3 dias,-110.0,-129.79714417742377
71,7 dias,-190.0,-132.72164363990254
71,14 dias,-260.0,-253.6308846057144
71,28 dias,-330.0,-370.84504999057623
71,56 dias,-450.0,-503.47481960922084
72,12 h,0.0,43.05877118010818
72,1 dia,60.0,48.430412442991496
72,3 dias,80.0,52.43496310603598
72,7 dias,120.0,44.97643853284433
72,14 dias,80.0,-73.12993630477311
72,28 dias,-220.0,-188.4923889941841
72,56 dias,-310.0,-322.3122760211071
73,12 h,0.0,-98.4052837122043
73,1 dia,-30.0,-83.89708861669551
73,3 dias,-80.0,-68.022581615955
73,7 dias,-110.0,-70.44622948497766
73,14 dias,-200.0,-194.30991541404055
73,28 dias,-320.0,-316.3245486191466
73,56 dias,-450.0,-454.1376600434874
74,12 h,0.0,27.066587650170348
74,1 dia,80.0,41.35929859865551
74,3 dias,120.0,45.79632944295575
74,7 dias,150.0,42.87182998047699
74,14 dias,-50.0,-78.03741098533487
74,28 dias,-170.0,-195.2515763701967
74,56 dias,-310.0,-327.88134598884136
75,12 h,0.0,6.067032729847853
75,1 dia,10.0,11.438673992731196
75,3 dias,30.0,15.44322465577568
75,7 dias,70.0,7.984700082584055
75,14 dias,-150.0,-110.12167475503338
75,28 dias,-230.0,-225.48412744444434
75,56 dias,-310.0,-359.3040144713673
76,12 h,0.0,-91.42241029116568
76,1 dia,-60.0,-76.91421519565691
76,3 dias,-100.0,-61.039708194916415
76,7 dias,-150.0,-63.463356063939045
76,14 dias,-210.0,-187.32704199300193
76,28 dias,-300.0,-309.341675198108
76,56 dias,-450.0,-447.15478662244885
77,12 h,0.0,68.80382600160344
77,1 dia,30.0,83.09653695008863
