amostra_id,wb,cement_consumption,water_consumption,dry_d1,fibra_metalica,macrofibra_pp,microfibra_pp,cement,curing,local_ensaio,estado,regiao,epsilon_t,idade_label,idade_dias,idade_horas,epsilon_abs_t,sinal
12,0.55,332,182.60000000000002,0.0,0.0,0.0,0.6,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,-370.0,14 dias,14.0,336,370.0,retracao
12,0.55,332,182.60000000000002,0.0,0.0,0.0,0.6,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,-480.0,28 dias,28.0,672,480.0,retracao
12,0.55,332,182.60000000000002,0.0,0.0,0.0,0.6,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,-650.0,56 dias,56.0,1344,650.0,retracao
13,0.54,335,180.9,10.0,0.0,0.0,0.0,CP II,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,10.0,12 h,0.5,12,10.0,expansao
13,0.54,335,180.9,10.0,0.0,0.0,0.0,CP II,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,0.0,1 dia,1.0,24,0.0,estabilidade
13,0.54,335,180.9,10.0,0.0,0.0,0.0,CP II,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,20.0,3 dias,3.0,72,20.0,expansao
13,0.54,335,180.9,10.0,0.0,0.0,0.0,CP II,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,20.0,7 dias,7.0,168,20.0,expansao
13,0.54,335,180.9,10.0,0.0,0.0,0.0,CP II,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-180.0,14 dias,14.0,336,180.0,retracao
13,0.54,335,180.9,10.0,0.0,0.0,0.0,CP II,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-250.0,28 dias,28.0,672,250.0,retracao
13,0.54,335,180.9,10.0,0.0,0.0,0.0,CP II,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-370.0,56 dias,56.0,1344,370.0,retracao
14,0.5,400,200.0,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,0.0,12 h,0.5,12,0.0,estabilidade
14,0.5,400,200.0,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-60.0,1 dia,1.0,24,60.0,retracao
14,0.5,400,200.0,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-180.0,3 dias,3.0,72,180.0,retracao
14,0.5,400,200.0,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-300.0,7 dias,7.0,168,300.0,retracao
14,0.5,400,200.0,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-400.0,14 dias,14.0,336,400.0,retracao
14,0.5,400,200.0,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-530.0,28 dias,28.0,672,530.0,retracao
14,0.5,400,200.0,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-630.0,56 dias,56.0,1344,630.0,retracao
15,0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,0.0,12 h,0.5,12,0.0,estabilidade
15,0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,30.0,1 dia,1.0,24,30.0,expansao
15,0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,70.0,3 dias,3.0,72,70.0,expansao
15,0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,110.0,7 dias,7.0,168,110.0,expansao
15,0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-20.0,14 dias,14.0,336,20.0,retracao
15,0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-140.0,28 dias,28.0,672,140.0,retracao
15,0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-370.0,56 dias,56.0,1344,370.0,retracao
16,0.61,360,219.6,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,0.0,12 h,0.5,12,0.0,estabilidade
16,0.61,360,219.6,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-60.0,1 dia,1.0,24,60.0,retracao
16,0.61,360,219.6,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-180.0,3 dias,3.0,72,180.0,retracao
16,0.61,360,219.6,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-300.0,7 dias,7.0,168,300.0,retracao
16,0.61,360,219.6,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-400.0,14 dias,14.0,336,400.0,retracao
16,0.61,360,219.6,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-530.0,28 dias,28.0,672,530.0,retracao
16,0.61,360,219.6,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-630.0,56 dias,56.0,1344,630.0,retracao
17,0.53,340,180.20000000000002,10.0,0.0,5.5,0.6,CP II F 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,BA,Nordeste,0.0,12 h,0.5,12,0.0,estabilidade
17,0.53,340,180.20000000000002,10.0,0.0,5.5,0.6,CP II F 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,BA,Nordeste,20.0,1 dia,1.0,24,20.0,expansao
17,0.53,340,180.20000000000002,10.0,0.0,5.5,0.6,CP II F 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,BA,Nordeste,40.0,3 dias,3.0,72,40.0,expansao
17,0.53,340,180.20000000000002,10.0,0.0,5.5,0.6,CP II F 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,BA,Nordeste,90.0,7 dias,7.0,168,90.0,expansao
17,0.53,340,180.20000000000002,10.0,0.0,5.5,0.6,CP II F 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,BA,Nordeste,-30.0,14 dias,14.0,336,30.0,retracao
17,0.53,340,180.20000000000002,10.0,0.0,5.5,0.6,CP II F 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,BA,Nordeste,-140.0,28 dias,28.0,672,140.0,retracao
17,0.53,340,180.20000000000002,10.0,0.0,5.5,0.6,CP II F 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,BA,Nordeste,-360.0,56 dias,56.0,1344,360.0,retracao
18,0.5,380,190.0,12.5,0.0,0.0,0.6,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,0.0,12 h,0.5,12,0.0,estabilidade
18,0.5,380,190.0,12.5,0.0,0.0,0.6,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,60.0,1 dia,1.0,24,60.0,expansao
18,0.5,380,190.0,12.5,0.0,0.0,0.6,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,100.0,3 dias,3.0,72,100.0,expansao
18,0.5,380,190.0,12.5,0.0,0.0,0.6,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,-20.0,7 dias,7.0,168,20.0,retracao
18,0.5,380,190.0,12.5,0.0,0.0,0.6,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,-130.0,14 dias,14.0,336,130.0,retracao
